codreg,codprov,codcom
01,001,001001
01,001,001002
01,001,001003
01,001,001004
01,001,001006
01,001,001007
01,001,001008
01,001,001009
01,001,001010
01,001,001011
01,001,001012
01,001,001013
01,001,001014
01,001,001015
01,001,001016
01,001,001017
01,001,001018
01,001,001019
01,001,001020
01,001,001021
01,001,001022
01,001,001023
01,001,001024
01,001,001025
01,001,001026
01,001,001027
01,001,001028
01,001,001029
01,001,001030
01,001,001031
01,001,001032
01,001,001033
01,001,001034
01,001,001035
01,001,001036
01,001,001037
01,001,001038
01,001,001039
01,001,001040
01,001,001041
01,001,001042
01,001,001043
01,001,001044
01,001,001045
01,001,001046
01,001,001047
01,001,001048
01,001,001049
01,001,001050
01,001,001051
01,001,001052
01,001,001053
01,001,001054
01,001,001055
01,001,001056
01,001,001057
01,001,001058
01,001,001059
01,001,001060
01,001,001061
01,001,001062
01,001,001063
01,001,001064
01,001,001065
01,001,001066
01,001,001067
01,001,001068
01,001,001069
01,001,001070
01,001,001071
01,001,001072
01,001,001073
01,001,001074
01,001,001075
01,001,001076
01,001,001077
01,001,001078
01,001,001079
01,001,001080
01,001,001081
01,001,001082
01,001,001083
01,001,001084
01,001,001085
01,001,001086
01,001,001087
01,001,001088
01,001,001089
01,001,001090
01,001,001091
01,001,001092
01,001,001093
01,001,001094
01,001,001095
01,001,001096
01,001,001097
01,001,001098
01,001,001099
01,001,001100
01,001,001101
01,001,001102
01,001,001103
01,001,001104
01,001,001105
01,001,001106
01,001,001107
01,001,001108
01,001,001109
01,001,001110
01,001,001111
01,001,001112
01,001,001113
01,001,001114
01,001,001115
01,001,001116
01,001,001117
01,001,001118
01,001,001119
01,001,001120
01,001,001121
01,001,001122
01,001,001123
01,001,001124
01,001,001125
01,001,001126
01,001,001127
01,001,001128
01,001,001129
01,001,001130
01,001,001131
01,001,001132
01,001,001133
01,001,001134
01,001,001135
01,001,001136
01,001,001137
01,001,001139
01,001,001140
01,001,001141
01,001,001142
01,001,001143
01,001,001144
01,001,001145
01,001,001146
01,001,001147
01,001,001148
01,001,001149
01,001,001150
01,001,001152
01,001,001153
01,001,001154
01,001,001155
01,001,001156
01,001,001157
01,001,001158
01,001,001159
01,001,001160
01,001,001161
01,001,001162
01,001,001163
01,001,001164
01,001,001165
01,001,001166
01,001,001167
01,001,001168
01,001,001169
01,001,001170
01,001,001171
01,001,001172
01,001,001173
01,001,001174
01,001,001175
01,001,001176
01,001,001177
01,001,001178
01,001,001179
01,001,001180
01,001,001181
01,001,001183
01,001,001184
01,001,001185
01,001,001186
01,001,001187
01,001,001188
01,001,001189
01,001,001190
01,001,001191
01,001,001192
01,001,001193
01,001,001194
01,001,001195
01,001,001196
01,001,001197
01,001,001198
01,001,001199
01,001,001200
01,001,001201
01,001,001202
01,001,001203
01,001,001204
01,001,001205
01,001,001206
01,001,001207
01,001,001208
01,001,001209
01,001,001210
01,001,001211
01,001,001212
01,001,001213
01,001,001214
01,001,001215
01,001,001216
01,001,001217
01,001,001218
01,001,001219
01,001,001220
01,001,001221
01,001,001222
01,001,001223
01,001,001224
01,001,001225
01,001,001226
01,001,001227
01,001,001228
01,001,001229
01,001,001230
01,001,001231
01,001,001232
01,001,001233
01,001,001234
01,001,001235
01,001,001236
01,001,001237
01,001,001238
01,001,001239
01,001,001240
01,001,001241
01,001,001242
01,001,001243
01,001,001244
01,001,001245
01,001,001246
01,001,001247
01,001,001248
01,001,001249
01,001,001250
01,001,001251
01,001,001252
01,001,001253
01,001,001254
01,001,001255
01,001,001256
01,001,001257
01,001,001258
01,001,001259
01,001,001260
01,001,001261
01,001,001262
01,001,001263
01,001,001264
01,001,001265
01,001,001266
01,001,001267
01,001,001268
01,001,001269
01,001,001270
01,001,001271
01,001,001272
01,001,001273
01,001,001274
01,001,001275
01,001,001276
01,001,001278
01,001,001279
01,001,001280
01,001,001281
01,001,001282
01,001,001283
01,001,001284
01,001,001285
01,001,001286
01,001,001287
01,001,001288
01,001,001289
01,001,001290
01,001,001291
01,001,001292
01,001,001293
01,001,001294
01,001,001295
01,001,001296
01,001,001298
01,001,001299
01,001,001300
01,001,001301
01,001,001302
01,001,001303
01,001,001304
01,001,001305
01,001,001306
01,001,001307
01,001,001308
01,001,001309
01,001,001310
01,001,001311
01,001,001312
01,001,001313
01,001,001314
01,001,001315
01,001,001316
01,001,001317
01,001,001318
01,002,002002
01,002,002003
01,002,002004
01,002,002006
01,002,002007
01,002,002008
01,002,002009
01,002,002011
01,002,002014
01,002,002015
01,002,002016
01,002,002017
01,002,002021
01,002,002025
01,002,002029
01,002,002030
01,002,002031
01,002,002032
01,002,002033
01,002,002035
01,002,002041
01,002,002042
01,002,002043
01,002,002045
01,002,002047
01,002,002048
01,002,002049
01,002,002052
01,002,002054
01,002,002057
01,002,002058
01,002,002059
01,002,002061
01,002,002062
01,002,002065
01,002,002066
01,002,002067
01,002,002068
01,002,002070
01,002,002071
01,002,002072
01,002,002078
01,002,002079
01,002,002082
01,002,002088
01,002,002089
01,002,002090
01,002,002091
01,002,002093
01,002,002096
01,002,002097
01,002,002102
01,002,002104
01,002,002107
01,002,002108
01,002,002110
01,002,002113
01,002,002115
01,002,002116
01,002,002118
01,002,002121
01,002,002122
01,002,002126
01,002,002127
01,002,002128
01,002,002131
01,002,002133
01,002,002134
01,002,002135
01,002,002137
01,002,002142
01,002,002147
01,002,002148
01,002,002150
01,002,002152
01,002,002156
01,002,002158
01,002,002163
01,002,002164
01,002,002166
01,002,002170
01,002,002171
01,003,003001
01,003,003002
01,003,003006
01,003,003008
01,003,003012
01,003,003016
01,003,003018
01,003,003019
01,003,003021
01,003,003022
01,003,003023
01,003,003024
01,003,003025
01,003,003026
01,003,003027
01,003,003030
01,003,003032
01,003,003036
01,003,003037
01,003,003039
01,003,003040
01,003,003041
01,003,003042
01,003,003043
01,003,003044
01,003,003045
01,003,003047
01,003,003049
01,003,003051
01,003,003052
01,003,003055
01,003,003058
