Anno;Tipo variazione;Codice Regione;Codice Istat del Comune;Denominazione Comune;Codice Istat del Comune associato alla variazione o nuovo codice Istat del Comune ;Denominazione Comune associata alla variazione o nuova denominazione;Provvedimento e Documento;Contenuto del provvedimento;Data decorrenza validità amministrativa
1991;CD;02;007064;Saint-Rhémy;007064;Saint-Rhémy-en-Bosses;"Legge Regionale 30 luglio 1991, n.27; B.U.R. n.35 del 6 agosto 1991";Assunta la nuova denominazione di Saint-Rhémy-en-Bosses;
1991;CD;08;035018;Ciano d'Enza;035018;Canossa;"Legge Regionale 30 maggio 1991, n.14; B.U.R. n.37 del 3 giugno 1991";Assunta la nuova denominazione di Canossa;
1991;AQ;09;047021;Uzzano;047012;Pescia;"Legge Regionale 22 aprile 1991, n.13; B.U.R. n.26 del 30 aprile 1991";Modificata la circoscrizione territoriale a seguito di aggregazione di territorio staccato dal Comune di Pescia;
1991;CD;14;070071;San Polomatese;070071;San Polo Matese;"Decreto Presidente Giunta Regionale 13 marzo 1991, n. 469; B.U.R. n. 7 del 16 aprile 1991 ";Assunta la nuova denominazione di San Polo Matese;
1991;CE ;20;092009;Cagliari;092109;Monserrato;"Legge Regionale 18 novembre 1991 n. 36; B.U.R. n. 46 del 25 novembre 1991";Modificata la circoscrizione territoriale a seguito del distacco della frazione Monserrato eretta in Comune autonomo con denominazione Monserrato;
1991;CS;20;092109;Monserrato;092009;Cagliari;"Legge Regionale 18 novembre 1991 n. 36; B.U.R. n. 46 del 25 novembre 1991";Nuovo Comune costituito con la frazione Monserrato staccata dal Comune di Cagliari;
1991;CD;20;095037;Ollastra Simaxis;095037;Ollastra;"Legge Regionale 18 giugno 1991, n. 18; B.U.R. n. 24 del 25 giugno 1991";Assunta la nuova denominazione di Ollastra;
1992;AP;01;002001;Ailoche;096001;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella ;
1992;AP;01;002005;Andorno Micca;096002;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
1992;AP;01;002010;Benna;096003;;"Decreto Legislativo 6 marzo 1992, n. 248; G.U. n. 77 del 1° aprile 1992";Comune della Provincia di Vercelli andato a costituire la nuova Provincia di Biella;
